Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Temprature,Humidity,Temp_Cat,Humid_Cat
Hubei,Mainland China,2020-03-10T15:13:05,67760,3024,47743,30.9756,112.2707,12.5,86,1,1
,Italy,2020-03-10T17:53:02,10149,631,724,43.0,12.0,12.9,64,1,1
,Iran (Islamic Republic of),2020-03-10T19:13:20,8042,291,2731,32.0,53.0,11.9,9,0,0
,Republic of Korea,2020-03-10T19:13:20,7513,54,247,36.0,128.0,4.9,41,0,0
,France,2020-03-10T18:53:02,1784,33,12,47.0,2.0,11.9,93,0,0
,Spain,2020-03-10T23:53:02,1695,35,32,40.0,-4.0,22.3,36,1,1
,Germany,2020-03-10T18:53:02,1457,2,18,51.0,9.0,10.4,91,0,0
Guangdong,Mainland China,2020-03-10T09:13:07,1353,8,1274,23.3417,113.4244,20.9,79,1,1
Henan,Mainland China,2020-03-08T05:03:02,1272,22,1247,33.882,113.614,14.7,59,1,1
Zhejiang,Mainland China,2020-03-10T10:33:02,1215,1,1191,29.1832,120.0934,11.0,89,0,0
Hunan,Mainland China,2020-03-10T08:33:02,1018,4,990,27.6104,111.7088,12.0,97,0,0
Anhui,Mainland China,2020-03-08T05:13:06,990,6,984,31.8257,117.2264,13.2,70,1,1
Jiangxi,Mainland China,2020-03-10T01:33:02,935,1,927,27.614,115.7221,12.7,97,1,1
Shandong,Mainland China,2020-03-10T07:33:03,758,6,719,36.3427,118.1498,8.6,55,0,0
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638,10.9,45,0,0
Jiangsu,Mainland China,2020-03-10T08:13:08,631,0,627,32.9711,119.455,11.3,79,0,0
,Japan,2020-03-10T16:13:16,581,10,101,36.0,138.0,2.6,53,0,0
Chongqing,Mainland China,2020-03-10T23:53:02,576,6,547,30.0572,107.874,13.2,80,1,1
Sichuan,Mainland China,2020-03-10T10:13:17,539,3,478,30.6171,102.7103,4.2,89,0,0
,Switzerland,2020-03-10T23:53:02,491,3,3,46.8182,8.2275,8.3,76,0,0
Heilongjiang,Mainland China,2020-03-10T00:13:18,481,13,434,47.862,127.7615,-10.1,90,0,0
Beijing,Mainland China,2020-03-10T01:13:07,429,8,320,40.1824,116.4142,8.4,22,0,0
,Norway,2020-03-10T23:53:02,400,0,1,60.472,8.4689,-2.1,78,0,0
,Netherlands,2020-03-10T13:53:06,382,4,0,52.1326,5.2913,11.9,79,0,0
,UK,2020-03-10T23:53:02,382,6,18,55.0,-3.0,6.4,79,0,0
,Sweden,2020-03-10T23:53:02,355,0,1,63.0,16.0,0.1,90,0,0
Shanghai,Mainland China,2020-03-10T06:13:14,344,3,319,31.202,121.4491,12.4,71,1,1
Hebei,Mainland China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149,13.1,22,1,1
Fujian,Mainland China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874,13.1,94,1,1
,Belgium,2020-03-10T11:53:03,267,0,1,50.8333,4.0,12.9,85,1,1
Washington,US,2020-03-10T22:13:11,267,23,1,47.4009,-121.4905,-0.5,95,0,0
,Denmark,2020-03-10T17:33:34,262,0,1,56.2639,9.5018,7.1,74,0,0
Guangxi,Mainland China,2020-03-10T00:53:02,252,2,234,23.8298,108.7881,21.6,82,1,1
Shaanxi,Mainland China,2020-03-10T08:53:02,245,1,227,35.1917,108.8701,6.9,30,0,0
,Austria,2020-03-10T16:13:16,182,0,4,47.5162,14.5501,6.5,84,0,0
Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.487,15.9,41,1,1
New York,US,2020-03-10T17:13:27,173,0,0,42.1657,-74.9481,1.9,71,0,0
Hainan,Mainland China,2020-03-08T04:33:02,168,6,159,19.1959,109.7453,24.5,79,1,1
,Singapore,2020-03-10T05:13:07,160,0,78,1.2833,103.8333,27.7,74,1,1
Guizhou,Mainland China,2020-03-10T01:13:07,146,2,129,26.8154,106.8748,12.3,89,1,1
California,US,2020-03-10T19:13:28,144,2,2,36.1162,-119.6816,15.5,82,1,1
Tianjin,Mainland China,2020-03-10T10:13:25,136,3,131,39.3054,117.323,9.5,35,0,0
Shanxi,Mainland China,2020-03-10T23:53:02,133,0,131,37.5777,112.2922,9.7,26,0,0
,Malaysia,2020-03-10T16:33:13,129,0,24,2.5,112.5,25.9,89,1,1
Gansu,Mainland China,2020-03-10T14:33:13,125,2,88,36.0611,103.8343,1.8,27,0,0
Liaoning,Mainland China,2020-03-10T04:13:09,125,1,111,41.2956,122.6085,2.7,42,0,0
Hong Kong,Hong Kong SAR,2020-03-10T23:53:02,120,3,65,22.3,114.2,19.6,91,1,1
,Bahrain,2020-03-10T18:53:02,110,0,22,26.0275,50.55,20.9,61,1,1
Jilin,Mainland China,2020-03-09T14:33:03,93,1,91,43.6661,126.1923,-2.0,46,0,0
Massachusetts,US,2020-03-10T22:13:11,92,0,1,42.2302,-71.5301,7.6,50,0,0
,Greece,2020-03-10T10:53:03,89,0,0,39.0742,21.8243,7.4,70,0,0
Xinjiang,Mainland China,2020-03-08T05:33:02,76,3,73,41.1129,85.2401,5.9,26,0,0
Inner Mongolia,Mainland China,2020-03-08T05:13:06,75,1,70,44.0935,113.9448,-12.4,73,0,0
Ningxia,Mainland China,2020-03-06T12:53:03,75,0,71,37.2692,106.1655,1.7,31,0,0
,United Arab Emirates,2020-03-10T11:13:12,74,0,12,23.4241,53.8478,22.3,30,1,1
,Iraq,2020-03-10T05:13:07,71,7,3,33.0,44.0,24.2,35,1,1
,Iceland,2020-03-10T12:53:02,69,0,1,64.9631,-19.0208,-6.3,86,0,0
,Kuwait,2020-03-10T10:13:28,69,0,1,29.5,47.75,22.8,23,1,1
,Egypt,2020-03-10T05:13:07,59,1,1,26.0,30.0,20.9,36,1,1
,Israel,2020-03-10T12:53:02,58,0,4,31.0,35.0,22.7,46,1,1
,India,2020-03-10T10:13:28,56,0,4,21.0,78.0,28.3,37,1,1
New South Wales,Australia,2020-03-10T14:13:14,55,2,4,-33.8688,151.2093,19.7,68,1,1
,Thailand,2020-03-10T08:53:03,53,1,33,15.87,100.9925,33.1,40,1,1
,San Marino,2020-03-10T05:13:07,51,2,0,43.9424,12.4578,13.3,67,1,1
Taiwan,Taipei and environs,2020-03-10T19:13:15,47,1,17,23.7,121.0,14.5,83,1,1
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638,10.9,45,0,0
,Czech Republic,2020-03-10T13:33:14,41,0,0,49.8175,15.473,9.9,87,0,0
,Lebanon,2020-03-10T10:53:03,41,1,1,33.8547,35.8623,18.4,40,1,1
,Portugal,2020-03-10T12:53:02,41,0,0,39.3999,-8.2245,22.7,50,1,1
,Finland,2020-03-10T10:13:30,40,0,1,64.0,26.0,1.1,92,0,0
Ontario,Canada,2020-03-10T17:13:32,36,0,4,51.2538,-85.3232,-10.3,74,0,0
,Ireland,2020-03-10T19:13:21,34,0,0,53.1424,-7.6921,5.2,83,0,0
,Philippines,2020-03-10T10:13:30,33,1,2,12.8797,121.774,27.0,76,1,1
British Columbia,Canada,2020-03-09T22:43:25,32,1,4,53.7267,-127.6476,-7.8,93,0,0
,Brazil,2020-03-10T16:53:13,31,0,0,-14.235,-51.9253,24.8,89,1,1
,Slovenia,2020-03-10T16:13:26,31,0,0,46.1512,14.9955,11.7,59,0,0
,Viet Nam,2020-03-10T19:13:21,31,0,16,16.0,108.0,23.7,82,1,1
,Indonesia,2020-03-10T12:53:02,27,0,2,-0.7893,113.9213,26.1,90,1,1
,Romania,2020-03-10T16:33:13,25,0,3,46.0,25.0,6.7,76,0,0
,occupied Palestinian territory,2020-03-10T19:13:21,25,0,0,31.9522,35.2332,20.8,45,1,1
,Qatar,2020-03-10T16:13:26,24,0,0,25.3548,51.1839,21.9,40,1,1
,Poland,2020-03-10T20:13:07,22,0,0,51.9194,19.1451,8.9,65,0,0
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655,10.2,97,0,0
,Algeria,2020-03-09T10:13:06,20,0,0,28.0339,1.6596,18.0,22,1,1
,Saudi Arabia,2020-03-10T05:13:07,20,0,1,24.0,45.0,21.6,16,1,1
Queensland,Australia,2020-03-10T13:53:06,18,0,8,-28.0167,153.4,19.5,78,1,1
Victoria,Australia,2020-03-10T14:33:13,18,0,7,-37.8136,144.9631,23.4,44,1,1
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,-13.7,47,0,0
,Oman,2020-03-10T08:33:02,18,0,9,21.0,57.0,24.1,30,1,1
,Argentina,2020-03-10T05:13:07,17,1,0,-38.4161,-63.6167,24.6,61,1,1
Georgia,US,2020-03-10T03:53:03,17,0,0,33.0406,-83.6431,17.7,84,1,1
,Pakistan,2020-03-10T05:13:07,16,0,1,30.3753,69.3451,6.8,79,0,0
,Ecuador,2020-03-09T09:03:03,15,0,0,-1.8312,-78.1834,13.8,93,1,1
,Georgia,2020-03-09T10:13:06,15,0,0,42.3154,43.3569,14.7,59,1,1
Colorado,US,2020-03-10T18:33:03,15,0,0,39.0598,-105.3111,1.6,72,0,0
Florida,US,2020-03-10T13:13:14,15,2,0,27.7663,-81.6868,22.4,68,1,1
New Jersey,US,2020-03-10T18:13:16,15,1,0,40.2989,-74.521,8.9,54,0,0
Oregon,US,2020-03-10T19:53:13,15,0,0,44.572,-122.0709,2.1,79,0,0
,Croatia,2020-03-10T16:53:13,14,0,0,45.1667,15.5,14.1,46,1,1
,Chile,2020-03-10T05:13:07,13,0,0,-35.6751,-71.543,19.4,52,1,1
Texas,US,2020-03-10T04:13:13,13,0,0,31.0545,-97.5635,22.9,77,1,1
,Estonia,2020-03-10T11:13:13,12,0,0,58.5953,25.0136,3.8,91,0,0
Illinois,US,2020-03-10T18:33:03,12,0,2,40.3495,-88.9861,5.4,92,0,0
Pennsylvania,US,2020-03-10T18:13:16,12,0,0,40.5908,-77.2098,6.4,65,0,0
,Azerbaijan,2020-03-10T16:13:27,11,0,0,40.1431,47.5769,14.7,57,1,1
,Peru,2020-03-10T16:33:13,11,0,0,-9.19,-75.0152,26.8,77,1,1
,Albania,2020-03-10T12:53:02,10,0,0,41.1533,20.1683,9.2,66,0,0
Macau,Macao SAR,2020-03-10T19:13:20,10,0,10,22.1667,113.55,20.3,89,1,1
,Russian Federation,2020-03-10T19:13:21,10,0,3,60.0,90.0,-1.3,97,0,0
,Belarus,2020-03-10T16:13:27,9,0,3,53.7098,27.9534,5.7,84,0,0
,Costa Rica,2020-03-09T09:03:03,9,0,0,9.7489,-83.7534,15.1,77,1,1
,Hungary,2020-03-09T09:43:03,9,0,0,47.1625,19.5033,11.6,77,0,0
,Latvia,2020-03-10T10:13:41,8,0,1,56.8796,24.6032,5.5,81,0,0
Iowa,US,2020-03-10T02:33:04,8,0,0,42.0115,-93.2105,5.4,86,0,0
Maryland,US,2020-03-10T18:13:16,8,0,0,39.0639,-76.8021,9.1,71,0,0
South Australia,Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007,25.6,34,1,1
Alberta,Canada,2020-03-09T17:53:24,7,0,0,53.9333,-116.5765,-4.4,89,0,0
,Mexico,2020-03-10T05:13:07,7,0,4,23.0,-102.0,18.4,55,1,1
,North Macedonia,2020-03-10T10:53:03,7,0,0,41.6086,21.7453,9.6,67,0,0
,Slovakia,2020-03-10T05:13:07,7,0,0,48.669,19.699,7.3,85,0,0
,South Africa,2020-03-10T05:13:07,7,0,0,-30.5595,22.9375,22.6,54,1,1
North Carolina,US,2020-03-10T02:33:04,7,0,0,35.6301,-79.8064,16.5,82,1,1
South Carolina,US,2020-03-10T02:33:04,7,0,0,33.8569,-80.945,19.2,80,1,1
Tennessee,US,2020-03-10T19:53:13,7,0,0,35.7478,-86.6923,12.9,97,1,1
Virginia,US,2020-03-10T03:53:03,7,0,0,37.7693,-78.17,12.8,71,1,1
Western Australia,Australia,2020-03-10T14:33:13,6,1,0,-31.9505,115.8605,25.2,67,1,1
,Maldives,2020-03-10T05:13:07,6,0,0,3.2028,73.2207,28.7,69,1,1
Arizona,US,2020-03-10T02:53:04,6,0,1,33.7298,-111.4312,13.6,95,1,1
Indiana,US,2020-03-10T17:13:25,6,0,0,39.8494,-86.2583,5.5,95,0,0
Kentucky,US,2020-03-10T02:33:04,6,0,0,37.6681,-84.6701,10.5,89,0,0
,Afghanistan,2020-03-10T12:33:02,5,0,0,33.0,65.0,4.3,42,0,0
,Bosnia and Herzegovina,2020-03-10T05:13:07,5,0,0,43.9159,17.6791,7.5,73,0,0
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627,20.1,87,1,1
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,26.3,65,1,1
,Luxembourg,2020-03-10T05:13:07,5,0,0,49.8144,6.1317,11.5,86,0,0
,Malta,2020-03-10T16:33:13,5,0,0,35.9375,14.3754,13.9,67,1,1
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886,11.6,72,0,0
,Serbia,2020-03-10T18:53:03,5,0,0,44.0165,21.0059,10.4,69,0,0
,Tunisia,2020-03-10T05:13:07,5,0,0,33.8869,9.5375,17.0,58,1,1
District of Columbia,US,2020-03-10T03:53:03,5,0,0,38.8974,-77.0268,9.5,73,0,0
,Bulgaria,2020-03-09T14:43:03,4,0,0,42.7339,25.4858,6.4,78,0,0
Quebec,Canada,2020-03-10T00:53:03,4,0,0,52.9399,-73.5491,-18.8,95,0,0
,Senegal,2020-03-08T20:23:08,4,0,1,14.4974,-14.4524,31.4,8,1,1
Nevada,US,2020-03-10T02:33:04,4,0,0,38.3135,-117.0554,6.8,72,0,0
New Hampshire,US,2020-03-10T02:33:04,4,0,0,43.4525,-71.5639,2.4,55,0,0
,Bangladesh,2020-03-10T06:19:32,3,0,0,23.685,90.3563,27.3,40,1,1
,Colombia,2020-03-10T05:33:02,3,0,0,4.5709,-74.2973,13.5,86,1,1
,Cyprus,2020-03-10T13:13:13,3,0,0,35.1264,33.4299,16.4,58,1,1
,Morocco,2020-03-10T14:13:14,3,1,0,31.7917,-7.0926,23.4,14,1,1
,Republic of Moldova,2020-03-10T19:13:21,3,0,0,47.4116,28.3699,10.1,69,0,0
Minnesota,US,2020-03-10T19:53:13,3,0,0,45.6945,-93.9002,-0.6,98,0,0
Nebraska,US,2020-03-10T03:13:17,3,0,0,41.1254,-98.2681,7.5,83,0,0
Ohio,US,2020-03-10T03:13:17,3,0,0,40.3888,-82.7649,5.8,93,0,0
Rhode Island,US,2020-03-10T03:13:17,3,0,0,41.6809,-71.5118,8.3,60,0,0
Wisconsin,US,2020-03-10T17:13:25,3,0,1,44.2685,-89.6165,1.5,97,0,0
Tasmania,Australia,2020-03-08T05:43:04,2,0,0,-41.4545,145.9707,11.8,86,0,0
,Cambodia,2020-03-08T04:53:03,2,0,1,11.55,104.9167,30.6,52,1,1
,Cameroon,2020-03-08T05:23:03,2,0,0,3.848,11.5021,25.6,76,1,1
,Faroe Islands,2020-03-08T05:13:07,2,0,0,61.8926,-6.9118,4.1,83,0,0
,Martinique,2020-03-07T03:23:05,2,0,0,14.6415,-61.0242,24.1,78,1,1
,Nigeria,2020-03-09T09:43:03,2,0,0,9.082,8.6753,31.5,36,1,1
,Saint Martin,2020-03-10T05:33:02,2,0,0,18.0708,-63.0501,25.2,77,1,1
Connecticut,US,2020-03-10T03:13:17,2,0,0,41.5978,-72.7554,7.7,53,0,0
Hawaii,US,2020-03-10T03:13:17,2,0,0,21.0943,-157.4983,23.5,69,1,1
Oklahoma,US,2020-03-10T17:13:25,2,0,0,35.5653,-96.9289,17.4,73,1,1
Utah,US,2020-03-10T16:53:13,2,0,0,40.15,-111.8624,6.0,72,0,0
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218,12.0,55,0,0
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,2.3,61,0,0
Northern Territory,Australia,2020-03-10T14:13:14,1,0,0,-12.4634,130.8456,28.3,76,1,1
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336,6.7,77,0,0
,Brunei,2020-03-10T06:13:43,1,0,0,4.5353,114.7277,27.5,84,1,1
,Burkina Faso,2020-03-10T05:33:02,1,0,0,12.2383,-1.5616,32.1,6,1,1
,Channel Islands,2020-03-10T05:33:02,1,0,0,49.3723,-2.3644,11.3,92,0,0
,Gibraltar,2020-03-10T08:33:03,1,0,1,36.1408,-5.3536,16.9,74,1,1
,Holy See,2020-03-10T19:13:21,1,0,0,41.9029,12.4534,13.7,75,1,1
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,24.0,19,1,1
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55,8.9,82,0,0
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,5.6,77,0,0
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,-4.3,26,0,0
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,12.2,88,1,1
,Mongolia,2020-03-10T06:13:43,1,0,0,46.8625,103.8467,-14.3,77,0,0
,Nepal,2020-03-10T08:33:03,1,0,1,28.3949,84.124,-6.5,58,0,0
,Panama,2020-03-10T06:13:43,1,0,0,8.538,-80.7821,22.8,70,1,1
,Paraguay,2020-03-08T09:13:16,1,0,0,-23.4425,-58.4438,30.2,34,1,1
,Saint Barthelemy,2020-03-09T10:43:06,1,0,0,17.9,-62.8333,25.3,77,1,1
,Sri Lanka,2020-03-10T08:33:03,1,0,1,7.8731,80.7718,27.0,64,1,1
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248,27.6,62,1,1
Kansas,US,2020-03-10T03:13:17,1,0,0,38.5266,-96.7265,9.7,93,0,0
Louisiana,US,2020-03-10T03:13:17,1,0,0,31.1695,-91.8678,19.9,90,1,1
Missouri,US,2020-03-10T03:13:17,1,0,0,38.4561,-92.2884,10.8,78,0,0
Vermont,US,2020-03-10T03:13:17,1,0,0,44.0459,-72.7107,-2.1,68,0,0
,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656,9.8,71,0,0
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,10.9,45,0,0
Alaska,US,2020-03-10T02:33:04,0,0,0,61.3707,-152.4044,-21.9,65,0,0
Arkansas,US,2020-03-10T02:33:04,0,0,0,34.9697,-92.3731,13.5,95,1,1
Delaware,US,2020-03-10T02:33:04,0,0,0,39.3185,-75.5071,9.4,67,0,0
Idaho,US,2020-03-10T02:33:04,0,0,0,44.2405,-114.4788,-0.1,72,0,0
Maine,US,2020-03-10T02:33:04,0,0,0,44.6939,-69.3819,1.9,57,0,0
Michigan,US,2020-03-10T02:33:04,0,0,0,43.3266,-84.5361,3.0,87,0,0
Mississippi,US,2020-03-10T02:33:04,0,0,0,32.7416,-89.6787,20.4,83,1,1
Montana,US,2020-03-10T02:33:04,0,0,0,46.9219,-110.4544,-2.0,74,0,0
New Mexico,US,2020-03-10T02:33:04,0,0,0,34.8405,-106.2485,10.0,75,0,0
North Dakota,US,2020-03-10T02:33:04,0,0,0,47.5289,-99.784,2.7,89,0,0
South Dakota,US,2020-03-10T02:33:04,0,0,0,44.2998,-99.4388,5.9,69,0,0
West Virginia,US,2020-03-10T02:33:04,0,0,0,38.4912,-80.9545,10.6,96,0,0
Wyoming,US,2020-03-10T02:33:04,0,0,0,42.756,-107.3025,-2.7,91,0,0
